generation,best,average,median,std
0,-0.7658963585434173,-0.7593271708683474,-0.7591876750700279,0.003911065326040774
1,-0.7658963585434173,-0.7641492997198879,-0.7658963585434173,0.0024179524333900874
2,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
3,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
4,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
5,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
6,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
7,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
8,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
9,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
10,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
11,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
12,-0.7658963585434173,-0.7625420168067228,-0.7625420168067226,0.003354341736694688
13,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
14,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
15,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
16,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
17,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
18,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
19,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
20,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
21,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
22,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
23,-0.7658963585434173,-0.7608823529411762,-0.7608823529411765,0.005014005602240857
24,-0.7658963585434173,-0.761708683473389,-0.7617086834733893,0.004187675070027985
25,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
26,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
27,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
28,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
29,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
30,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
31,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
32,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
33,-0.7658963585434173,-0.7633963585434174,-0.7633963585434174,0.002500000000000002
34,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
35,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
36,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
37,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
38,-0.7658963585434173,-0.7658963585434172,-0.7658963585434173,1.1102230246251565e-16
